model_label,family,site,protocol,layer,k,held_out_seeds,evidence_scope,mean_control_adjusted_transport,ci95_low,ci95_high,exact_sign_flip_p,positive_seed_fraction,holm_p
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,10,5,5,held_out_only,0.74,0.6799999999999999,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,11,1,5,held_out_only,0.9,0.5333333333333334,1.2333333333333332,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,11,3,5,held_out_only,0.7888888888888889,0.7777777777777777,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,11,5,5,held_out_only,0.74,0.6799999999999999,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,12,1,5,held_out_only,0.8333333333333333,0.4666666666666666,1.2,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,12,3,5,held_out_only,0.7666666666666666,0.711111111111111,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,12,5,5,held_out_only,0.72,0.6533333333333333,0.7866666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,13,1,5,held_out_only,0.8333333333333333,0.4666666666666666,1.2,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,13,3,5,held_out_only,0.7666666666666666,0.711111111111111,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,13,5,5,held_out_only,0.7,0.6399999999999999,0.7600000000000001,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,14,1,5,held_out_only,0.8333333333333333,0.4666666666666666,1.2,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,14,3,5,held_out_only,0.7666666666666666,0.711111111111111,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,14,5,5,held_out_only,0.7,0.6399999999999999,0.7600000000000001,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,15,1,5,held_out_only,0.8333333333333333,0.4666666666666666,1.2,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,15,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,15,5,5,held_out_only,0.6799999999999999,0.6333333333333334,0.7266666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,16,1,5,held_out_only,0.8,0.4666666666666666,1.1333333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,16,3,5,held_out_only,0.7555555555555554,0.7,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,16,5,5,held_out_only,0.6799999999999999,0.6266666666666667,0.7333333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,17,1,5,held_out_only,0.7,0.3333333333333333,1.0333333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,17,3,5,held_out_only,0.7222222222222221,0.6777777777777777,0.7666666666666666,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,17,5,5,held_out_only,0.6066666666666667,0.5,0.6933333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,18,3,5,held_out_only,0.5333333333333332,0.4333333333333333,0.6666666666666666,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,18,5,5,held_out_only,0.5466666666666666,0.4666666666666667,0.6133333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,19,3,5,held_out_only,0.3555555555555555,0.2333333333333333,0.4888888888888887,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,19,5,5,held_out_only,0.3666666666666666,0.2533333333333333,0.48,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,20,3,5,held_out_only,0.3222222222222222,0.2111111111111111,0.4444444444444443,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,20,5,5,held_out_only,0.2733333333333333,0.1733333333333333,0.3733333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,21,3,5,held_out_only,0.2666666666666666,0.1666666666666666,0.3555555555555555,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,21,5,5,held_out_only,0.2199999999999999,0.1599999999999999,0.2799999999999999,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,cumulative_from_layer,22,3,5,held_out_only,0.2444444444444444,0.1666666666666666,0.3222222222222222,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,0,1,5,held_out_only,0.8666666666666666,0.5333333333333333,1.2666666666666668,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,0,3,5,held_out_only,0.7555555555555554,0.6888888888888888,0.8222222222222222,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,0,5,5,held_out_only,0.7066666666666667,0.6399999999999999,0.7733333333333333,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,1,1,5,held_out_only,0.8333333333333334,0.5,1.2666666666666668,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,1,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,1,5,5,held_out_only,0.7133333333333333,0.6399999999999999,0.7866666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,2,1,5,held_out_only,0.8,0.3999999999999999,1.2666666666666668,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,2,3,5,held_out_only,0.7444444444444444,0.6888888888888888,0.8,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,2,5,5,held_out_only,0.7333333333333333,0.6799999999999999,0.7866666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,3,1,5,held_out_only,0.8333333333333333,0.5333333333333333,1.1666666666666667,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,3,3,5,held_out_only,0.7666666666666666,0.711111111111111,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,3,5,5,held_out_only,0.7066666666666667,0.6399999999999999,0.7733333333333334,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,4,1,5,held_out_only,0.8333333333333334,0.5,1.2666666666666668,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,4,3,5,held_out_only,0.7666666666666666,0.711111111111111,0.8111111111111111,0.0625,1.0,1.0
Qwen3-8B,prompt_patching,toggled_needle_span,single_layer,4,5,5,held_out_only,0.7,0.6399999999999999,0.7733333333333334,0.0625,1.0,1.0
