model,mode,target,candidate,term,estimate,bootstrap_ci_low,bootstrap_ci_high
Qwen3-1.7B,direct,signed_error,N2_L2,intercept,-2.461547640358407,-6.633328580409459,1.6251125025816775
Qwen3-1.7B,direct,signed_error,N2_L2,N,0.25039464898427644,-0.1656331658229473,0.7207615617708651
Qwen3-1.7B,direct,signed_error,N2_L2,N2,-0.018766784680386145,-0.031870745116852894,-0.00660580027773941
Qwen3-1.7B,direct,signed_error,N2_L2,Lk,1.1904948600729892,0.3344150417306836,1.9576931864400635
Qwen3-1.7B,direct,signed_error,N2_L2,Lk2,-0.036920897754512294,-0.06625821141396554,-0.005155967106355187
Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,intercept,-0.9523448554144279,-2.691308722845905,0.5402050689888658
Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,N,0.11414205010157263,-0.1083923727282283,0.32807218373057895
Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,lnLk,1.8819366123005334,0.513009760291123,3.676961756234818
Qwen3-1.7B,direct,absolute_error,N_lnL_interaction,NlnLk,0.17449594906940674,0.008059999758982474,0.36253771675463536
Qwen3-1.7B,enumeration_index,signed_error,N_lnL_interaction,intercept,-24.565834052944215,-34.77565948020263,-13.338642211936289
Qwen3-1.7B,enumeration_index,signed_error,N_lnL_interaction,N,0.9256598327162333,0.4868314581710701,1.402152780158773
Qwen3-1.7B,enumeration_index,signed_error,N_lnL_interaction,lnLk,29.96895163903923,24.8589219417832,35.326703482295294
Qwen3-1.7B,enumeration_index,signed_error,N_lnL_interaction,NlnLk,-1.1568386570233804,-1.4891742080883503,-0.8292744193807339
Qwen3-1.7B,enumeration_index,absolute_error,N_lnL_interaction,intercept,-23.974280902954735,-33.78989159737894,-12.988308439232652
Qwen3-1.7B,enumeration_index,absolute_error,N_lnL_interaction,N,0.9238167897511,0.5682073233874804,1.3476754050240993
Qwen3-1.7B,enumeration_index,absolute_error,N_lnL_interaction,lnLk,28.959396404392884,24.085216428982058,34.12550175524911
Qwen3-1.7B,enumeration_index,absolute_error,N_lnL_interaction,NlnLk,-0.9708048392691833,-1.25504871356724,-0.7087786585293026
Qwen3-1.7B,enumeration_bullet,signed_error,N2_L,intercept,1.8854927089370372,0.8952580721995979,2.9662842442695516
Qwen3-1.7B,enumeration_bullet,signed_error,N2_L,N,-0.5000143285001294,-0.6889491483681661,-0.3172907682220241
Qwen3-1.7B,enumeration_bullet,signed_error,N2_L,N2,0.03715936722639812,0.027512110915227993,0.045889188192215165
Qwen3-1.7B,enumeration_bullet,signed_error,N2_L,Lk,-0.048645332750836795,-0.13449575199880623,0.04311073794961451
Qwen3-1.7B,enumeration_bullet,absolute_error,N2_L,intercept,1.4760438364946251,0.6395548214217925,2.581186536057683
Qwen3-1.7B,enumeration_bullet,absolute_error,N2_L,N,-0.3979832915311081,-0.5974809445360011,-0.21743705782498884
Qwen3-1.7B,enumeration_bullet,absolute_error,N2_L,N2,0.0346951843548261,0.025542329344448864,0.04286439161509603
Qwen3-1.7B,enumeration_bullet,absolute_error,N2_L,Lk,-0.012429372360564475,-0.0737574739746204,0.052876006162839745
Qwen3-1.7B,native_thinking,signed_error,N_L_interaction,intercept,0.18148881441048675,0.06382191625148416,0.31296319843041875
Qwen3-1.7B,native_thinking,signed_error,N_L_interaction,N,-0.09505211684209984,-0.13904936148915809,-0.05243275810422199
Qwen3-1.7B,native_thinking,signed_error,N_L_interaction,Lk,0.11730570577504196,0.08244032007273018,0.16028008446936318
Qwen3-1.7B,native_thinking,signed_error,N_L_interaction,NLk,-0.019781110465738494,-0.025807977406347778,-0.013910195704223723
Qwen3-1.7B,native_thinking,absolute_error,N_lnL_interaction,intercept,-0.3137608010240497,-0.8695090953890032,0.09953696625048646
Qwen3-1.7B,native_thinking,absolute_error,N_lnL_interaction,N,0.0404534159857423,-0.017398082979446852,0.11202882166138436
Qwen3-1.7B,native_thinking,absolute_error,N_lnL_interaction,lnLk,-0.196220722368911,-0.470066410271815,0.17855763897231494
Qwen3-1.7B,native_thinking,absolute_error,N_lnL_interaction,NlnLk,0.11439051008648397,0.06819428198368935,0.15560623591019573
Qwen3-4B,direct,signed_error,N,intercept,0.6584676008271518,0.41880017105789596,0.9782681499718014
Qwen3-4B,direct,signed_error,N,N,-0.21868481483088237,-0.2999360717659876,-0.1402476248318945
Qwen3-4B,direct,absolute_error,N_density,intercept,-0.44158073848895485,-0.7821659316901635,-0.1834834807058721
Qwen3-4B,direct,absolute_error,N_density,N,0.286711328318763,0.2242942582144281,0.3466148017917304
Qwen3-4B,direct,absolute_error,N_density,N/Lk,-0.1710002617208684,-0.4159775028853914,0.0375337411807148
Qwen3-4B,enumeration_index,signed_error,N2_L,intercept,0.6119040707709811,-0.16944161305183866,1.7982896465263096
Qwen3-4B,enumeration_index,signed_error,N2_L,N,-0.17825848358086807,-0.419967290108304,-0.0027435969000290934
Qwen3-4B,enumeration_index,signed_error,N2_L,N2,0.006366707643751274,-0.000501938058810299,0.015200512235600278
Qwen3-4B,enumeration_index,signed_error,N2_L,Lk,0.028509174311926594,-0.023130733944954122,0.1069605176933156
Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,intercept,0.33358662804051464,0.05843533787659544,0.7063820693851631
Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,N,-0.05039835321762315,-0.13374783930463285,0.004123691638805957
Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,Lk,-0.04522975464217297,-0.15773397862574123,0.045730532696939746
Qwen3-4B,enumeration_index,absolute_error,N_L_interaction,NLk,0.013655853268731935,0.0020307544013178727,0.032060361476788805
Qwen3-4B,enumeration_bullet,signed_error,N_L2,intercept,-0.1727519652797951,-0.36777327324869424,-0.0065780961778177105
Qwen3-4B,enumeration_bullet,signed_error,N_L2,N,-0.01886740653354893,-0.043755266818135546,0.0076435723544453285
Qwen3-4B,enumeration_bullet,signed_error,N_L2,Lk,0.12956315581020272,0.06426504686603197,0.21467682133962077
Qwen3-4B,enumeration_bullet,signed_error,N_L2,Lk2,-0.006570632246467551,-0.010914030317253406,-0.003180533586393354
Qwen3-4B,enumeration_bullet,absolute_error,N_piece10_lnL,intercept,-0.11296368956623844,-0.3440475631128444,0.14376862003269295
Qwen3-4B,enumeration_bullet,absolute_error,N_piece10_lnL,N,0.0015158730158730052,-0.022816666666666766,0.021433673469387723
Qwen3-4B,enumeration_bullet,absolute_error,N_piece10_lnL,(N-10)+,0.08436134339914825,0.04258210829047069,0.13187145760743324
Qwen3-4B,enumeration_bullet,absolute_error,N_piece10_lnL,lnLk,0.1291256890802577,0.05007559811967741,0.21265190852938276
Qwen3-4B,native_thinking,signed_error,N_L_interaction,intercept,-0.09769142345273171,-0.26691315432518853,0.06789386572362077
Qwen3-4B,native_thinking,signed_error,N_L_interaction,N,0.02205285668225844,-0.009502160738315413,0.053753265931697755
Qwen3-4B,native_thinking,signed_error,N_L_interaction,Lk,0.0251645599861786,0.010127792145477809,0.04139579894233343
Qwen3-4B,native_thinking,signed_error,N_L_interaction,NLk,-0.005844349763076108,-0.008796442774492786,-0.0030063624316195663
Qwen3-4B,native_thinking,absolute_error,N_L_interaction,intercept,-0.025678623964113745,-0.17867544824332324,0.12851543963701892
Qwen3-4B,native_thinking,absolute_error,N_L_interaction,N,0.0021336551911939985,-0.026823979439471804,0.031094633266030167
Qwen3-4B,native_thinking,absolute_error,N_L_interaction,Lk,-0.01927731900205351,-0.03788078227631664,-0.004809794470880597
Qwen3-4B,native_thinking,absolute_error,N_L_interaction,NLk,0.004791149817431707,0.0020440157126175897,0.008056042448221728
Qwen3-8B,direct,signed_error,N_L2,intercept,-0.2266181112810763,-0.8792616734635873,0.39380631438040536
Qwen3-8B,direct,signed_error,N_L2,N,-0.03093411314803394,-0.09312530038886734,0.026545306963611924
Qwen3-8B,direct,signed_error,N_L2,Lk,0.15707417918015293,0.01347373193892775,0.306704345358707
Qwen3-8B,direct,signed_error,N_L2,Lk2,-0.010085957404553418,-0.017708474300758288,-0.003078182627393735
Qwen3-8B,direct,absolute_error,N_L,intercept,-0.5529544519092716,-0.8396039097953514,-0.2133556081812896
Qwen3-8B,direct,absolute_error,N_L,N,0.15566343547074957,0.12751781943170062,0.18391795872891023
Qwen3-8B,direct,absolute_error,N_L,Lk,0.036767147225862815,0.010404434250764568,0.061063728702490105
Qwen3-8B,enumeration_index,signed_error,N_L_interaction,intercept,-0.0413510975141926,-0.1028100993192313,0.011989571420497485
Qwen3-8B,enumeration_index,signed_error,N_L_interaction,N,0.01480802971760337,0.005033269958547826,0.0266623152119928
Qwen3-8B,enumeration_index,signed_error,N_L_interaction,Lk,0.013190253030144511,0.004111968334253297,0.025828456962267335
Qwen3-8B,enumeration_index,signed_error,N_L_interaction,NLk,-0.0032859886406409137,-0.00583569936541035,-0.0013486653414481902
Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,intercept,0.06666863886112939,0.013858024847244944,0.13509462985878332
Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,N,-0.00969475480451822,-0.02177742101902323,-0.001182031143836702
Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,Lk,-0.01333816761488332,-0.02614668977982371,-0.003275881144017098
Qwen3-8B,enumeration_index,absolute_error,N_L_interaction,NLk,0.002869663199693104,0.0010229255580769176,0.005288842309824528
Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,intercept,0.017719373563695854,-0.10691177255787428,0.16174423704334343
Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,N,0.009205842986864414,-0.02157583268094587,0.0413550984233266
Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.04263794237584488,0.030513165901238638,0.056129218121099896
Qwen3-8B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.009589254426313875,-0.012931572368112489,-0.006796739806219861
Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.06851348247452674,-0.19793810977186224,0.047450467253754396
Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,N,0.01701058611454847,-0.003365926853231405,0.03823293841341766
Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.040706033592243875,-0.054859335334389026,-0.028376102294359516
Qwen3-8B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.008269206949339847,0.006173762357782525,0.010459016235730137
Qwen3-8B,native_thinking,signed_error,N_L_interaction,intercept,-0.05739256651045402,-0.11410161551587819,-0.013365840269084132
Qwen3-8B,native_thinking,signed_error,N_L_interaction,N,0.013460251262384815,0.0038617882512527553,0.0263932489618921
Qwen3-8B,native_thinking,signed_error,N_L_interaction,Lk,0.015117772478507291,0.004632537480713978,0.028112459579032665
Qwen3-8B,native_thinking,signed_error,N_L_interaction,NLk,-0.0034458686734947872,-0.006196056272480307,-0.0013100707584891562
Qwen3-8B,native_thinking,absolute_error,N_L_interaction,intercept,0.032013021293687015,-0.012319952474923731,0.09370434099242207
Qwen3-8B,native_thinking,absolute_error,N_L_interaction,N,-0.01108279488816813,-0.0240170672987309,-0.0014830132726282208
Qwen3-8B,native_thinking,absolute_error,N_L_interaction,Lk,-0.0098244746927766,-0.023207407514301403,0.0005771675198812836
Qwen3-8B,native_thinking,absolute_error,N_L_interaction,NLk,0.0031912872296800832,0.0009956064558102164,0.0060089473291796945
Qwen3-32B,direct,signed_error,N,intercept,-0.9194153886485771,-1.110041224275788,-0.7478159653952017
Qwen3-32B,direct,signed_error,N,N,0.2758893695110761,0.23413619085070123,0.32066889500589835
Qwen3-32B,direct,absolute_error,N,intercept,-0.8982487875212996,-1.094751278018088,-0.7291839035260184
Qwen3-32B,direct,absolute_error,N,N,0.27575829073273034,0.2339016909162406,0.32047253899593653
Qwen3-32B,enumeration_index,signed_error,N_L_interaction,intercept,-0.12318100536220401,-0.3566185252795635,0.0024883772808008166
Qwen3-32B,enumeration_index,signed_error,N_L_interaction,N,0.007041263358911713,-3.6389392960952765e-05,0.01781029713995719
Qwen3-32B,enumeration_index,signed_error,N_L_interaction,Lk,0.02818632667958211,0.0013947263039031333,0.07929559587330326
Qwen3-32B,enumeration_index,signed_error,N_L_interaction,NLk,-0.0018114726400107698,-0.004192656942785901,-0.000371109275206509
Qwen3-32B,enumeration_index,absolute_error,L,intercept,-0.07409174311926606,-0.20583486238532103,-0.0020183486238532088
Qwen3-32B,enumeration_index,absolute_error,L,Lk,0.01876146788990826,0.0018348623853211012,0.05023394495412843
Qwen3-32B,enumeration_bullet,signed_error,N_lnL_interaction,intercept,0.09508319782823597,-0.016537814103985058,0.2076653545089598
Qwen3-32B,enumeration_bullet,signed_error,N_lnL_interaction,N,-0.015992388151811813,-0.039536318071655654,0.006537790292200418
Qwen3-32B,enumeration_bullet,signed_error,N_lnL_interaction,lnLk,-0.17975290932956456,-0.2621107833482759,-0.09403732466163683
Qwen3-32B,enumeration_bullet,signed_error,N_lnL_interaction,NlnLk,0.03668044404876277,0.020851591809906516,0.05186080294955486
Qwen3-32B,enumeration_bullet,absolute_error,N_lnL_interaction,intercept,-0.01810604153140426,-0.13240395205374347,0.08152959976627165
Qwen3-32B,enumeration_bullet,absolute_error,N_lnL_interaction,N,0.005427279565573054,-0.013781187216707343,0.02855377844464318
Qwen3-32B,enumeration_bullet,absolute_error,N_lnL_interaction,lnLk,-0.1550182669761912,-0.2286669896299673,-0.07614165236279599
Qwen3-32B,enumeration_bullet,absolute_error,N_lnL_interaction,NlnLk,0.03199971800700326,0.017287624418338275,0.044839717254994124
Qwen3-32B,native_thinking,signed_error,N_L_interaction,intercept,-0.03906431398297881,-0.06455483782909462,-0.011592989570217897
Qwen3-32B,native_thinking,signed_error,N_L_interaction,N,0.003849098262184,0.0008231572909263394,0.0072485548264047805
Qwen3-32B,native_thinking,signed_error,N_L_interaction,Lk,0.009168659905887834,0.0028568349165004094,0.014814484445518701
Qwen3-32B,native_thinking,signed_error,N_L_interaction,NLk,-0.000906487918505075,-0.0016702623138891766,-0.00023336231497148044
Qwen3-32B,native_thinking,absolute_error,N_L_interaction,intercept,-0.011761734857695395,-0.039062558248883696,0.013491680105247674
Qwen3-32B,native_thinking,absolute_error,N_L_interaction,N,-0.0016348530053718236,-0.00500354032957293,0.0007696831621492543
Qwen3-32B,native_thinking,absolute_error,N_L_interaction,Lk,0.00393777485957133,-0.0016253016916377746,0.01008786487100764
Qwen3-32B,native_thinking,absolute_error,N_L_interaction,NLk,0.00032036134450749926,-0.0002579125283653259,0.0010942973516073985
Gemma4-E4B,direct,signed_error,N_lnL_interaction,intercept,-0.6335648905199752,-1.224571650750437,-0.03446675060943214
Gemma4-E4B,direct,signed_error,N_lnL_interaction,N,0.05049268954297639,-0.04349265762010263,0.1379824977160647
Gemma4-E4B,direct,signed_error,N_lnL_interaction,lnLk,0.8422211944249578,0.6027955164369992,1.0774573600350787
Gemma4-E4B,direct,signed_error,N_lnL_interaction,NlnLk,-0.20724154131533024,-0.24387714383210635,-0.16782164546127767
Gemma4-E4B,direct,absolute_error,N_lnL_interaction,intercept,0.3360255284659346,-0.090309061835362,0.6633970691666883
Gemma4-E4B,direct,absolute_error,N_lnL_interaction,N,0.001739159672514104,-0.05396526344416923,0.07336708777757447
Gemma4-E4B,direct,absolute_error,N_lnL_interaction,lnLk,-0.6166648192406673,-0.7462629600092995,-0.44470784456120377
Gemma4-E4B,direct,absolute_error,N_lnL_interaction,NlnLk,0.1812529443420838,0.1516182951721296,0.2043427096691749
Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,intercept,-0.23432452940914605,-0.6048879799557682,0.007783243201641842
Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,N,0.038525279564577866,0.018928391903901186,0.06247281438162667
Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,Lk,0.04781429143502401,-0.0046554462029844874,0.12566149085875827
Gemma4-E4B,enumeration_index,signed_error,N_L_interaction,NLk,-0.009031808851064436,-0.014274584185645995,-0.004723414758508404
Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,intercept,-0.10549746801497528,-0.46345024898955056,0.15181146241826965
Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,N,-0.020868751661032626,-0.04357658488072424,0.00555355349757864
Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,Lk,0.03000754003614885,-0.02913379174829028,0.11636971911862123
Gemma4-E4B,enumeration_index,absolute_error,N_L_interaction,NLk,0.004988329178496832,-0.0009731607182154909,0.010064538259971296
Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,intercept,-0.20353934347570254,-0.33587847433922197,-0.11562899654986068
Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,N,0.05654240638991,0.03811207896955237,0.07707855346751456
Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.028319269422207225,0.015627109736988682,0.045561187032580885
Gemma4-E4B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.012531491977136967,-0.015096897581776908,-0.009851996726638206
Gemma4-E4B,enumeration_bullet,absolute_error,product,intercept,-0.2035399696116396,-0.27355853103488476,-0.12680954883917173
Gemma4-E4B,enumeration_bullet,absolute_error,product,NLk,0.009235111932747748,0.00754736262643239,0.010917517552193556
Gemma4-E4B,native_thinking,signed_error,N_L_interaction,intercept,-0.16795972875110565,-0.3048583976400978,-0.06765446431470332
Gemma4-E4B,native_thinking,signed_error,N_L_interaction,N,0.05405931735615293,0.031354943594035734,0.08023243273794693
Gemma4-E4B,native_thinking,signed_error,N_L_interaction,Lk,0.02572406995197388,0.005448734368254443,0.05068809894884445
Gemma4-E4B,native_thinking,signed_error,N_L_interaction,NLk,-0.012716365165433834,-0.01858396888502466,-0.007673907867252066
Gemma4-E4B,native_thinking,absolute_error,N_L_interaction,intercept,0.16198542259677695,0.05795235917749761,0.3012803775068789
Gemma4-E4B,native_thinking,absolute_error,N_L_interaction,N,-0.05111199298668398,-0.07889905430870356,-0.02729682233173507
Gemma4-E4B,native_thinking,absolute_error,N_L_interaction,Lk,-0.026156990687794784,-0.05068809894884445,-0.005752518957318443
Gemma4-E4B,native_thinking,absolute_error,N_L_interaction,NLk,0.012929939395105498,0.007897671517784022,0.018693821519607894
Gemma4-12B,direct,signed_error,N_lnL_interaction,intercept,0.5692322778567707,0.40552498330753356,0.6926431933505883
Gemma4-12B,direct,signed_error,N_lnL_interaction,N,-0.1227898294138007,-0.15661799856856742,-0.08970877041244955
Gemma4-12B,direct,signed_error,N_lnL_interaction,lnLk,0.318554789369867,0.26069166962187235,0.3725347125781095
Gemma4-12B,direct,signed_error,N_lnL_interaction,NlnLk,-0.12480724627106562,-0.1366049495174962,-0.11097408826188483
Gemma4-12B,direct,absolute_error,N_lnL_interaction,intercept,-0.5739504517354141,-0.7231631341229835,-0.40016257516508086
Gemma4-12B,direct,absolute_error,N_lnL_interaction,N,0.12333581557230466,0.08909761575963174,0.15715830039331838
Gemma4-12B,direct,absolute_error,N_lnL_interaction,lnLk,-0.301390425850256,-0.36105624679010806,-0.2433998454484915
Gemma4-12B,direct,absolute_error,N_lnL_interaction,NlnLk,0.12390280284733393,0.11020920311035892,0.13564614617036158
Gemma4-12B,enumeration_index,signed_error,N_L_interaction,intercept,-0.018038363992538886,-0.061371186840171,0.022031935119612482
Gemma4-12B,enumeration_index,signed_error,N_L_interaction,N,0.011528895655279623,0.003991458233370726,0.02091982007333192
Gemma4-12B,enumeration_index,signed_error,N_L_interaction,Lk,0.002942959085382803,-0.005682896384029545,0.012521573883335099
Gemma4-12B,enumeration_index,signed_error,N_L_interaction,NLk,-0.002613939326158875,-0.004789740319711962,-0.0009019993722649355
Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,intercept,0.018038363992538886,-0.02203193511961249,0.061371186840170996
Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,N,-0.011528895655279623,-0.020919820073331923,-0.003991458233370733
Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,Lk,-0.002942959085382803,-0.012521573883335102,0.0056828963840295415
Gemma4-12B,enumeration_index,absolute_error,N_L_interaction,NLk,0.002613939326158875,0.0009019993722649335,0.004789740319711962
Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,intercept,0.19385113058452655,0.14730378228416138,0.2379355332922048
Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,N,-0.04000182788755125,-0.05054095309905104,-0.02800013348389357
Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,Lk,0.004411943321055091,-0.000588199482659838,0.009520965689829016
Gemma4-12B,enumeration_bullet,signed_error,N_L_interaction,NLk,-0.003330483271822504,-0.005192096550944546,-0.0016101675042480242
Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,intercept,-0.19385113058452655,-0.23793553329220482,-0.1473037822841614
Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,N,0.04000182788755125,0.02800013348389356,0.05054095309905103
Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,Lk,-0.004411943321055091,-0.009520965689829018,0.0005881994826598364
Gemma4-12B,enumeration_bullet,absolute_error,N_L_interaction,NLk,0.003330483271822504,0.0016101675042480238,0.005192096550944544
Gemma4-12B,native_thinking,signed_error,N_L_interaction,intercept,-0.10740680479243138,-0.17128604195402622,-0.05203699427943286
Gemma4-12B,native_thinking,signed_error,N_L_interaction,N,0.03320998700035228,0.021435686017020953,0.045026823999281596
Gemma4-12B,native_thinking,signed_error,N_L_interaction,Lk,0.022568759237145564,0.010362097609195263,0.036396981099402204
Gemma4-12B,native_thinking,signed_error,N_L_interaction,NLk,-0.0076395277476136204,-0.010413851608171676,-0.0048957653136691105
Gemma4-12B,native_thinking,absolute_error,N_L_interaction,intercept,0.10740680479243138,0.05203699427943284,0.17128604195402616
Gemma4-12B,native_thinking,absolute_error,N_L_interaction,N,-0.03320998700035228,-0.045026823999281596,-0.021435686017020956
Gemma4-12B,native_thinking,absolute_error,N_L_interaction,Lk,-0.022568759237145564,-0.03639698109940221,-0.010362097609195266
Gemma4-12B,native_thinking,absolute_error,N_L_interaction,NLk,0.0076395277476136204,0.0048957653136691105,0.010413851608171676
DeepSeek-R1-0528-Qwen3-8B,native_thinking,signed_error,N_L_interaction,intercept,-0.44844078863116416,-1.240597964216961,0.19737866979539678
DeepSeek-R1-0528-Qwen3-8B,native_thinking,signed_error,N_L_interaction,N,0.01545079455939261,-0.036139214960950385,0.07088556911649192
DeepSeek-R1-0528-Qwen3-8B,native_thinking,signed_error,N_L_interaction,Lk,0.17086149990466362,0.05178510080238627,0.32155388135438784
DeepSeek-R1-0528-Qwen3-8B,native_thinking,signed_error,N_L_interaction,NLk,-0.012491793021588753,-0.020458707972974024,-0.005478501999481059
DeepSeek-R1-0528-Qwen3-8B,native_thinking,absolute_error,product,intercept,0.1309235138337053,-0.14897022788738845,0.3649495246394896
DeepSeek-R1-0528-Qwen3-8B,native_thinking,absolute_error,product,NLk,0.015586614639842292,0.010981502437062892,0.021320307259545115
GLM-Z1-9B-0414,native_thinking,signed_error,product,intercept,0.33058143898779085,0.17511336148944123,0.4913026110774661
GLM-Z1-9B-0414,native_thinking,signed_error,product,NLk,-0.011476308778364284,-0.013454006375523547,-0.00899826948364123
GLM-Z1-9B-0414,native_thinking,absolute_error,N_lnL_interaction,intercept,0.13203735735680433,-0.08439165608392972,0.304810666426982
GLM-Z1-9B-0414,native_thinking,absolute_error,N_lnL_interaction,N,-0.0735893186665392,-0.09799199899059588,-0.04649448453348221
GLM-Z1-9B-0414,native_thinking,absolute_error,N_lnL_interaction,lnLk,-0.154998854441029,-0.30259049213161143,0.014215014787039664
GLM-Z1-9B-0414,native_thinking,absolute_error,N_lnL_interaction,NlnLk,0.09957393429155226,0.07263087189213224,0.11955513863252837
GLM-4-9B-0414,direct,signed_error,N_piece10_lnL,intercept,1.2164698437764154,0.9426843986214426,1.4997743718476007
