population,model_label,seed,condition,endpoint,effect,rows
all,Qwen3-8B,1255,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1255,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1255,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1255,normmatched_orthogonal,absolute_error_increase,0.0,9
all,Qwen3-8B,1256,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1256,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1256,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1256,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1256,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1256,normmatched_orthogonal,absolute_error_increase,0.0,9
all,Qwen3-8B,1257,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1257,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1257,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1257,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1257,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1257,normmatched_orthogonal,absolute_error_increase,0.0,9
all,Qwen3-8B,1258,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1258,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1258,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1258,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1258,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1258,normmatched_orthogonal,absolute_error_increase,0.0,9
all,Qwen3-8B,1259,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1259,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1259,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1259,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1259,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1259,normmatched_orthogonal,absolute_error_increase,0.0,9
all,Qwen3-8B,1260,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1260,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1260,centroid_curve_remove,accuracy_drop,0.1111111111111111,9
all,Qwen3-8B,1260,centroid_curve_remove,absolute_error_increase,0.1111111111111111,9
all,Qwen3-8B,1260,normmatched_orthogonal,accuracy_drop,0.1111111111111111,9
all,Qwen3-8B,1260,normmatched_orthogonal,absolute_error_increase,0.1111111111111111,9
all,Qwen3-8B,1261,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1261,actual_rank3_remove,absolute_error_increase,0.2222222222222222,9
all,Qwen3-8B,1261,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1261,centroid_curve_remove,absolute_error_increase,0.2222222222222222,9
all,Qwen3-8B,1261,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1261,normmatched_orthogonal,absolute_error_increase,-0.1111111111111111,9
all,Qwen3-8B,1262,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1262,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1262,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1262,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1262,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1262,normmatched_orthogonal,absolute_error_increase,-0.2222222222222222,9
all,Qwen3-8B,1263,actual_rank3_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1263,actual_rank3_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1263,centroid_curve_remove,accuracy_drop,0.0,9
all,Qwen3-8B,1263,centroid_curve_remove,absolute_error_increase,0.0,9
all,Qwen3-8B,1263,normmatched_orthogonal,accuracy_drop,0.0,9
all,Qwen3-8B,1263,normmatched_orthogonal,absolute_error_increase,0.0,9
clean_correct_only,Gemma4-E4B,1254,actual_rank3_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1254,actual_rank3_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1254,centroid_curve_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1254,centroid_curve_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1254,normmatched_orthogonal,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1254,normmatched_orthogonal,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1255,actual_rank3_remove,accuracy_drop,0.0,4
clean_correct_only,Gemma4-E4B,1255,actual_rank3_remove,absolute_error_increase,0.0,4
clean_correct_only,Gemma4-E4B,1255,centroid_curve_remove,accuracy_drop,0.0,4
clean_correct_only,Gemma4-E4B,1255,centroid_curve_remove,absolute_error_increase,0.0,4
clean_correct_only,Gemma4-E4B,1255,normmatched_orthogonal,accuracy_drop,0.0,4
clean_correct_only,Gemma4-E4B,1255,normmatched_orthogonal,absolute_error_increase,0.0,4
clean_correct_only,Gemma4-E4B,1256,actual_rank3_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1256,actual_rank3_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1256,centroid_curve_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1256,centroid_curve_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1256,normmatched_orthogonal,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1256,normmatched_orthogonal,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1257,actual_rank3_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1257,actual_rank3_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1257,centroid_curve_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1257,centroid_curve_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1257,normmatched_orthogonal,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1257,normmatched_orthogonal,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1258,actual_rank3_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1258,actual_rank3_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1258,centroid_curve_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1258,centroid_curve_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1258,normmatched_orthogonal,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1258,normmatched_orthogonal,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1259,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Gemma4-E4B,1259,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Gemma4-E4B,1259,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Gemma4-E4B,1259,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Gemma4-E4B,1259,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Gemma4-E4B,1259,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Gemma4-E4B,1260,actual_rank3_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1260,actual_rank3_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1260,centroid_curve_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1260,centroid_curve_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1260,normmatched_orthogonal,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1260,normmatched_orthogonal,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1261,actual_rank3_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1261,actual_rank3_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1261,centroid_curve_remove,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1261,centroid_curve_remove,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1261,normmatched_orthogonal,accuracy_drop,0.0,2
clean_correct_only,Gemma4-E4B,1261,normmatched_orthogonal,absolute_error_increase,0.0,2
clean_correct_only,Gemma4-E4B,1262,actual_rank3_remove,accuracy_drop,0.0,4
clean_correct_only,Gemma4-E4B,1262,actual_rank3_remove,absolute_error_increase,0.0,4
clean_correct_only,Gemma4-E4B,1262,centroid_curve_remove,accuracy_drop,0.0,4
clean_correct_only,Gemma4-E4B,1262,centroid_curve_remove,absolute_error_increase,0.0,4
clean_correct_only,Gemma4-E4B,1262,normmatched_orthogonal,accuracy_drop,0.0,4
clean_correct_only,Gemma4-E4B,1262,normmatched_orthogonal,absolute_error_increase,0.0,4
clean_correct_only,Gemma4-E4B,1263,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Gemma4-E4B,1263,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Gemma4-E4B,1263,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Gemma4-E4B,1263,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Gemma4-E4B,1263,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Gemma4-E4B,1263,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1254,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1254,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1254,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1254,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1254,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1254,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1255,actual_rank3_remove,accuracy_drop,0.0,5
clean_correct_only,Qwen3-8B,1255,actual_rank3_remove,absolute_error_increase,0.0,5
clean_correct_only,Qwen3-8B,1255,centroid_curve_remove,accuracy_drop,0.0,5
clean_correct_only,Qwen3-8B,1255,centroid_curve_remove,absolute_error_increase,0.0,5
clean_correct_only,Qwen3-8B,1255,normmatched_orthogonal,accuracy_drop,0.0,5
clean_correct_only,Qwen3-8B,1255,normmatched_orthogonal,absolute_error_increase,0.0,5
clean_correct_only,Qwen3-8B,1256,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1256,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1256,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1256,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1256,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1256,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1257,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1257,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1257,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1257,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1257,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1257,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1258,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1258,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1258,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1258,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1258,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1258,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1259,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1259,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1259,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1259,centroid_curve_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1259,normmatched_orthogonal,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1259,normmatched_orthogonal,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1260,actual_rank3_remove,accuracy_drop,0.0,5
clean_correct_only,Qwen3-8B,1260,actual_rank3_remove,absolute_error_increase,0.0,5
clean_correct_only,Qwen3-8B,1260,centroid_curve_remove,accuracy_drop,0.2,5
clean_correct_only,Qwen3-8B,1260,centroid_curve_remove,absolute_error_increase,0.2,5
clean_correct_only,Qwen3-8B,1260,normmatched_orthogonal,accuracy_drop,0.2,5
clean_correct_only,Qwen3-8B,1260,normmatched_orthogonal,absolute_error_increase,0.2,5
clean_correct_only,Qwen3-8B,1261,actual_rank3_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1261,actual_rank3_remove,absolute_error_increase,0.0,3
clean_correct_only,Qwen3-8B,1261,centroid_curve_remove,accuracy_drop,0.0,3
clean_correct_only,Qwen3-8B,1261,centroid_curve_remove,absolute_error_increase,0.0,3
